user_email,total_price,status,order_date,payment_date,payment_method
alice@example.com,350,completed,2024-01-01 10:00:00,2024-01-01 10:30:00,credit_card
bob@example.com,500,pending,2024-01-02 11:00:00,2024-01-02 11:30:00,paypal
charlie@example.com,450,completed,2024-01-03 12:00:00,2024-01-03 12:30:00,cash
diana@example.com,600,shipped,2024-01-04 13:00:00,2024-01-04 13:30:00,credit_card
evan@example.com,300,pending,2024-01-05 14:00:00,2024-01-05 14:30:00,cash
fiona@example.com,750,completed,2024-01-06 15:00:00,2024-01-06 15:30:00,paypal
george@example.com,400,cancelled,2024-01-07 16:00:00,2024-01-07 16:30:00,credit_card
hannah@example.com,500,completed,2024-01-08 17:00:00,2024-01-08 17:30:00,cash
ian@example.com,650,shipped,2024-01-09 18:00:00,2024-01-09 18:30:00,paypal
julia@example.com,200,completed,2024-01-10 19:00:00,2024-01-10 19:30:00,credit_card
